Standard Name,FMA ID,Organ,Url
Adrenal_L,15630,Adrenal glands Left,http://purl.org/sig/ont/fma/fma15630
Adrenal_R,15629,Adrenal glands Right,http://purl.org/sig/ont/fma/fma15629
AnalCanal,15703,Anal canal,http://purl.org/sig/ont/fma/fma15703
AnalSphincter,15710,Anal Sphincter internal,http://purl.org/sig/ont/fma/fma15710
Aorta,3734,Aorta,http://purl.org/sig/ont/fma/fma3734
Arytenoids,55109,Arytenoid cartilage combined,http://purl.org/sig/ont/fma/fma55109
Arytenoid_L,55114,Arytenoid cartilage Left,http://purl.org/sig/ont/fma/fma55114
Arytenoid_R,55113,Arytenoid cartilage Right,http://purl.org/sig/ont/fma/fma55113
V_Azygos,4838,Azygos vein,http://purl.org/sig/ont/fma/fma4838
BaseOfTongue,54645,Base of Tongue,http://purl.org/sig/ont/fma/fma54645
Bladder,15900,Bladder - Urinary,http://purl.org/sig/ont/fma/fma15900
BladderWall,15902,Bladder Wall,http://purl.org/sig/ont/fma/fma15902
SmallIntestine,7200,Small intestine,http://purl.org/sig/ont/fma/fma7200
Spc_Bowel,9908,BowelBag a la RTOG,http://purl.org/sig/ont/fma/fma9908
BrachialPlexuss,5906,Brachial Plexus combined,http://purl.org/sig/ont/fma/fma5906
BrachialPlexus_L,65221,Brachial Plexus Left,http://purl.org/sig/ont/fma/fma65221
BrachialPlexus_R,65222,Brachial Plexus Right,http://purl.org/sig/ont/fma/fma65222
A_Brachioceph,3932,Brachiocephalic artery,http://purl.org/sig/ont/fma/fma3932
V_Brachioceph_L,4761,Brachiocephalic vein left,http://purl.org/sig/ont/fma/fma4761
V_Brachioceph_R,4751,Brachiocephalic vein right,http://purl.org/sig/ont/fma/fma4751
Brain,50801,Brain,http://purl.org/sig/ont/fma/fma50801
Brainstem,79876,Brainstem,http://purl.org/sig/ont/fma/fma79876
Breasts,9601,Breasts combined,http://purl.org/sig/ont/fma/fma9601
Breast_L,73125,Breast Left,http://purl.org/sig/ont/fma/fma73125
Breast_R,73124,Breast Right,http://purl.org/sig/ont/fma/fma73124
Bronchuss,26660,Bronchial tree combined,http://purl.org/sig/ont/fma/fma26660
Bronchus_R,26661,Bronchial tree Right,http://purl.org/sig/ont/fma/fma26661
Bronchus_L,26662,Bronchial tree Left,http://purl.org/sig/ont/fma/fma26662
VB_C1,12519,Atlas,http://purl.org/sig/ont/fma/fma12519
VB_C2,12520,Axis,http://purl.org/sig/ont/fma/fma12520
VB_C3,12521,Cervical Vertebra,http://purl.org/sig/ont/fma/fma12521
VB_C4,12522,Cervical Vertebra,http://purl.org/sig/ont/fma/fma12522
VB_C5,12523,Cervical Vertebra,http://purl.org/sig/ont/fma/fma12523
VB_C6,12524,Cervical Vertebra,http://purl.org/sig/ont/fma/fma12524
VB_C7,12525,Cervical Vertebra,http://purl.org/sig/ont/fma/fma12525
VB_C8,23892,Cervical Vertebra,http://purl.org/sig/ont/fma/fma23892
Carina,7465,Carina of trachea,http://purl.org/sig/ont/fma/fma7465
Atriums,7099,Atrium of the heart combined,http://purl.org/sig/ont/fma/fma7099
Atrium_L,7097,Atrium of the heart left,http://purl.org/sig/ont/fma/fma7097
Atrium_R,7096,Atrium of the heart right,http://purl.org/sig/ont/fma/fma7096
Ventricles,7100,Ventricle of the heart combined,http://purl.org/sig/ont/fma/fma7100
Ventricle_L,7101,Ventricle of the heart left,http://purl.org/sig/ont/fma/fma7101
Ventricle_R,7098,Ventricle of the heart right,http://purl.org/sig/ont/fma/fma7098
A_Carotids,3939,Carotid artery combined,http://purl.org/sig/ont/fma/fma3939
A_Carotid_L,4058,Left Carotid Artery,http://purl.org/sig/ont/fma/fma4058
A_Carotid_R,3941,Right Carotid Artery,http://purl.org/sig/ont/fma/fma3941
CaudaEquina,52590,Cauda Equina,http://purl.org/sig/ont/fma/fma52590
A_Celiac,50737,Celiac artery,http://purl.org/sig/ont/fma/fma50737
Cerebellum,67944,Cerebellum,http://purl.org/sig/ont/fma/fma67944
Cerebrum,62000,Cerebrum,http://purl.org/sig/ont/fma/fma62000
Cervix,17740,Cervix of uterus,http://purl.org/sig/ont/fma/fma17740
ChestWall,50060,Chest Wall,http://purl.org/sig/ont/fma/fma50060
Chiasm,62045,Optic chiasm,http://purl.org/sig/ont/fma/fma62045
Clavicle_L,13323,Clavicle Left,http://purl.org/sig/ont/fma/fma13323
Clavicle_R,13322,Clavicle Right,http://purl.org/sig/ont/fma/fma13322
CN_III_L,50880,Oculomotor nerve Left,http://purl.org/sig/ont/fma/fma50880
CN_III_R,50879,Oculomotor nerve Right,http://purl.org/sig/ont/fma/fma50879
CN_IX_L,50892,Glossopharyngeal nerve Left,http://purl.org/sig/ont/fma/fma50892
CN_IX_R,50870,Glossopharyngeal nerve Right ,http://purl.org/sig/ont/fma/fma50870
CN_V_L,50885,Trigeminal nerve Left,http://purl.org/sig/ont/fma/fma50885
CN_V1_L,52623,Trigeminal nerve Left (V1),http://purl.org/sig/ont/fma/fma52623
CN_V2_L,52726,Trigeminal nerve Left (V2),http://purl.org/sig/ont/fma/fma52726
CN_V3_L,52998,Trigeminal nerve Left (V3),http://purl.org/sig/ont/fma/fma52998
CN_V_R,50884,Trigeminal nerve Right,http://purl.org/sig/ont/fma/fma50884
CN_V1_R,52622,Trigeminal nerve Right (V1),http://purl.org/sig/ont/fma/fma52622
CN_V2_R,52725,Trigeminal nerve Right (V2),http://purl.org/sig/ont/fma/fma52725
