BodySection,OrganSystem,StandardStructureName,Structure,StructureName,Fast,Fastest
Chest,Pulmonary,Lung_LLL_TS,lung_lower_lobe_left,Lower lobe of lung,False,False
Chest,Pulmonary,Lung_RLL_TS,lung_lower_lobe_right,Lower lobe of lung,False,False
Chest,Pulmonary,Lung_RML_TS,lung_middle_lobe_right,Middle lobe of right lung,False,False
Chest,Pulmonary,Lung_RUL_TS,lung_upper_lobe_right,Upper lobe of lung,False,False
Chest,Pulmonary,Lung_ULL_TS,lung_upper_lobe_left,Upper lobe of lung,False,False
Head,Nervous,Brain_TS,brain,Brain,False,False
Head,Skeletal,Skull_TS,skull,Skull,False,False
LimbsLower,Skeletal,Femur_L_TS,femur_left,Femur,False,False
LimbsLower,Skeletal,Femur_R_TS,femur_right,Femur,False,False
LimbsUpper,Skeletal,Humerus_L_TS,humerus_left,Humerus,False,False
LimbsUpper,Skeletal,Humerus_R_TS,humerus_right,Humerus,False,False
Mediastinum,Airway,Trachea_TS,trachea,Trachea,False,False
Mediastinum,Cardiac,AtrialAppendage_L_TS,atrial_appendage_left,Auricular appendage,False,False
Mediastinum,Cardiac,Heart_TS,heart,Heart,False,False
Mediastinum,Vascular,A_Aorta_TS,aorta,Aorta,False,False
Mediastinum,Vascular,V_Brachiocephalic_L_TS,brachiocephalic_vein_left,Brachiocephalic vein,False,False
Mediastinum,Vascular,V_Brachiocephalic_R_TS,brachiocephalic_vein_right,Brachiocephalic vein,False,False
Mediastinum,Vascular,V_BrachiocephalicTrunk_TS,brachiocephalic_trunk,Brachiocephalic artery,False,False
Mediastinum,Vascular,V_InferiorVenaCava_TS,inferior_vena_cava,Inferior vena cava,False,False
Mediastinum,Vascular,V_Pulmonary_TS,pulmonary_vein,Pulmonary vein,False,False
Mediastinum,Vascular,V_SuperiorVenaCava_TS,superior_vena_cava,Superior vena cava,False,False
Neck,GlandularEndocrine,ThyroidGland_TS,thyroid_gland,Thyroid gland,False,False
Neck,Vascular,A_CommonCarotid_L_TS,common_carotid_artery_right,Common carotid artery,False,False
Neck,Vascular,A_CommonCarotid_R_TS,common_carotid_artery_left,Common carotid artery,False,False
Neck,Vascular,A_Subclavian_L_TS,subclavian_artery_left,Subclavian artery,False,False
Neck,Vascular,A_Subclavian_R_TS,subclavian_artery_right,Subclavian artery,False,False
Pelvis,Genitourinary,Bladder_TS,urinary_bladder,Urinary bladder,False,False
Pelvis,Muscular,GluteusMaximus_L_TS,gluteus_maximus_left,Gluteus maximus muscle,False,False
Pelvis,Muscular,GluteusMaximus_R_TS,gluteus_maximus_right,Gluteus maximus muscle,False,False
Pelvis,Muscular,GluteusMedius_L_TS,gluteus_medius_left,Gluteus medius muscle,False,False
Pelvis,Muscular,GluteusMedius_R_TS,gluteus_medius_right,Gluteus medius muscle,False,False
Pelvis,Muscular,GluteusMinimus_L_TS,gluteus_minimus_left,Gluteus minius muscle,False,False
Pelvis,Muscular,GluteusMinimus_R_TS,gluteus_minimus_right,Gluteus minius muscle,False,False
Pelvis,Muscular,IliopsoasMuscle_L_TS,iliopsoas_left,Iliopsoas muscle,False,False
Pelvis,Muscular,IliopsoasMuscle_R_TS,iliopsoas_right,Iliopsoas muscle,False,False
Pelvis,Skeletal,Hip_L_TS,hip_left,Hip,False,False
Pelvis,Skeletal,Hip_R_TS,hip_right,Hip,False,False
Pelvis,Skeletal,Sacrum_TS,sacrum,Sacrum,False,False
Pelvis,Vascular,A_Iliac_L_TS,iliac_artery_left,Common iliac artery,False,False
Pelvis,Vascular,A_Iliac_R_TS,iliac_artery_right,Common iliac artery,False,False
Pelvis,Vascular,V_Iliac_L_TS,iliac_vena_left,Common iliac vein,False,False
Pelvis,Vascular,V_Iliac_R_TS,iliac_vena_right,Common iliac vein,False,False
PelvisMale,GlandularEndocrine,Prostate_TS,prostate,Prostate,False,False
Thoracic,Skeletal,Clavicle_L_TS,clavicula_left,Clavicle,False,False
Thoracic,Skeletal,Clavicle_R_TS,clavicula_right,Clavicle,False,False
Thoracic,Skeletal,CostalCartilages_TS,costal_cartilages,Costal cartilage,False,False
Thoracic,Skeletal,Rib1_L_TS,rib_left_1,First rib,False,False
Thoracic,Skeletal,Rib1_R_TS,rib_right_1,First rib,False,False
Thoracic,Skeletal,Rib10_L_TS,rib_left_10,Tenth rib,False,False
Thoracic,Skeletal,Rib10_R_TS,rib_right_10,Tenth rib,False,False
Thoracic,Skeletal,Rib11_L_TS,rib_left_11,Eleventh rib,False,False
Thoracic,Skeletal,Rib11_R_TS,rib_right_11,Eleventh rib,False,False
Thoracic,Skeletal,Rib12_L_TS,rib_left_12,Twelfth rib,False,False
Thoracic,Skeletal,Rib12_R_TS,rib_right_12,Twelfth rib,False,False
Thoracic,Skeletal,Rib2_L_TS,rib_left_2,Second rib,False,False
Thoracic,Skeletal,Rib2_R_TS,rib_right_2,Second rib,False,False
Thoracic,Skeletal,Rib3_L_TS,rib_left_3,Third rib,False,False
Thoracic,Skeletal,Rib3_R_TS,rib_right_3,Third rib,False,False
Thoracic,Skeletal,Rib4_L_TS,rib_left_4,Fourth rib,False,False
Thoracic,Skeletal,Rib4_R_TS,rib_right_4,Fourth rib,False,False
Thoracic,Skeletal,Rib5_L_TS,rib_left_5,Fifth rib,False,False
Thoracic,Skeletal,Rib5_R_TS,rib_right_5,Fifth rib,False,False
Thoracic,Skeletal,Rib6_L_TS,rib_left_6,Sixth rib,False,False
Thoracic,Skeletal,Rib6_R_TS,rib_right_6,Sixth rib,False,False
Thoracic,Skeletal,Rib7_L_TS,rib_left_7,Seventh rib,False,False
Thoracic,Skeletal,Rib7_R_TS,rib_right_7,Seventh rib,False,False
Thoracic,Skeletal,Rib8_L_TS,rib_left_8,Eighth rib,False,False
Thoracic,Skeletal,Rib8_R_TS,rib_right_8,Eighth rib,False,False
Thoracic,Skeletal,Rib9_L_TS,rib_left_9,Ninth rib,False,False
Thoracic,Skeletal,Rib9_R_TS,rib_right_9,Ninth rib,False,False
Thoracic,Skeletal,Scapula_L_TS,scapula_left,Scapula,False,False
Thoracic,Skeletal,Scapula_R_TS,scapula_right,Scapula,False,False
Thoracic,Skeletal,Sternum_TS,sternum,Sternum,False,False
Thoracic,Skeletal,VB_C1_TS,vertebrae_C1,C1 vertebra,False,False
Thoracic,Skeletal,VB_C2_TS,vertebrae_C2,C2 vertebra,False,False
Thoracic,Skeletal,VB_C3_TS,vertebrae_C3,C3 vertebra,False,False
Thoracic,Skeletal,VB_C4_TS,vertebrae_C4,C4 vertebra,False,False
Thoracic,Skeletal,VB_C5_TS,vertebrae_C5,C5 vertebra,False,False
Thoracic,Skeletal,VB_C6_TS,vertebrae_C6,C6 vertebra,False,False
Thoracic,Skeletal,VB_C7_TS,vertebrae_C7,C7 vertebra,False,False
Thoracic,Skeletal,VB_L1_TS,vertebrae_L1,L1 vertebra,False,False
Thoracic,Skeletal,VB_L2_TS,vertebrae_L2,L2 vertebra,False,False
Thoracic,Skeletal,VB_L3_TS,vertebrae_L3,L3 vertebra,False,False
Thoracic,Skeletal,VB_L4_TS,vertebrae_L4,L4 vertebra,False,False
Thoracic,Skeletal,VB_L5_TS,vertebrae_L5,L5 vertebra,False,False
Thoracic,Skeletal,VB_S1_TS,vertebrae_S1,S1 vertebra,False,False
Thoracic,Skeletal,VB_T1_TS,vertebrae_T1,T1 vertebra,False,False
Thoracic,Skeletal,VB_T10_TS,vertebrae_T10,T10 vertebra,False,False
Thoracic,Skeletal,VB_T11_TS,vertebrae_T11,T11 vertebra,False,False
Thoracic,Skeletal,VB_T12_TS,vertebrae_T12,T12 vertebra,False,False
Thoracic,Skeletal,VB_T2_TS,vertebrae_T2,T2 vertebra,False,False
Thoracic,Skeletal,VB_T3_TS,vertebrae_T3,T3 vertebra,False,False
Thoracic,Skeletal,VB_T4_TS,vertebrae_T4,T4 vertebra,False,False
Thoracic,Skeletal,VB_T5_TS,vertebrae_T5,T5 vertebra,False,False
Thoracic,Skeletal,VB_T6_TS,vertebrae_T6,T6 vertebra,False,False
Thoracic,Skeletal,VB_T7_TS,vertebrae_T7,T7 vertebra,False,False
Thoracic,Skeletal,VB_T8_TS,vertebrae_T8,T8 vertebra,False,False
Thoracic,Skeletal,VB_T9_TS,vertebrae_T9,T9 vertebra,False,False
Trunk,Disease,KidneyCyst_L_TS,kidney_cyst_left,Cyst,False,False
Trunk,Disease,KidneyCyst_R_TS,kidney_cyst_right,Cyst,False,False
Trunk,Genitourinary,Kidney_L_TS,kidney_left,Kidney,False,False
