Standard Name,FMA ID,TS Name,Url
A_Aorta_TS,3734,aorta,http://purl.org/sig/ont/fma/fma3734
A_Aorta_TS,3734,aorta,http://purl.org/sig/ont/fma/fma3734
A_CommonCarotid_L_TS,4058,common_carotid_artery_right,
A_CommonCarotid_R_TS,3941,common_carotid_artery_left,
A_Iliac_L_TS,14766,iliac_artery_left,
A_Iliac_R_TS,14765,iliac_artery_right,
A_Iliac_TS,14764,iliac_artery,
A_Pulmonary_TS,66326,pulmonary_artery,
A_Subclavian_L_TS,4694,subclavian_artery_left,
A_Subclavian_R_TS,3953,subclavian_artery_right,
AdrenalGland_L_TS,15630,adrenal_gland_left,http://purl.org/sig/ont/fma/fma15630
AdrenalGland_R_TS,15629,adrenal_gland_right,http://purl.org/sig/ont/fma/fma15629
AdrenalGland_TS,,adrenal_gland,
AtrialAppendage_L_TS,,atrial_appendage_left,
Bladder_TS,15900,urinary_bladder,
Brain_TS,50801,brain,
Carpal_TS,,carpal,
Clavicle_L_TS,13323,clavicula_left,
Clavicle_R_TS,13322,clavicula_right,
Clavicles_TS,,clavicula,
Colon_TS,7201,colon,
CoronaryArtery_TS,,coronary_arteries,
CostalCartilages_TS,,costal_cartilages,
COVIDInfiltrates_TS,,lung_covid_infiltrate,
Duodenum_TS,7206,duodenum,
ErectorSpinaeMuscles_L_TS,,autochthon_left,
ErectorSpinaeMuscles_R_TS,,autochthon_right,
ErectorSpinaeMuscles_TS,,autochthon,
Face_TS,,face,
FatSubcutaneous_TS,,subcutaneous_fat,
FatTorso_TS,,torso_fat,
FeetPhalanges_TS,,phalanges_feet,
Femur_L_TS,24475,femur_left,
Femur_R_TS,24474,femur_right,
Femur_TS,,femur,
Fibula_TS,,fibula,
GallBladder_TS,7202,gallbladder,
GluteusMaximi_TS,,gluteus_maximus,
GluteusMaximus_L_TS,,gluteus_maximus_left,
GluteusMaximus_R_TS,,gluteus_maximus_right,
GluteusMedii_TS,,gluteus_medius,
GluteusMedius_L_TS,,gluteus_medius_left,
GluteusMedius_R_TS,,gluteus_medius_right,
GluteusMinimi_TS,,gluteus_minimus,
GluteusMinimus_L_TS,,gluteus_minimus_left,
GluteusMinimus_R_TS,,gluteus_minimus_right,
GTVliver_TS,,liver_tumor,
HandPhalanges_TS,,phalanges_hand,
Heart_TS,7088,heart,
HeartAtrium_L_TS,7097,heart_atrium_left,
HeartAtrium_R_TS,7096,heart_atrium_right,
HeartVentricle_L_TS,7101,heart_ventricle_left,
HeartVentricle_R_TS,7098,heart_ventricle_right,
Hip_L_TS,,hip_left,
Hip_R_TS,,hip_right,
Hip_TS,,hip,
HipImplant_TS,,hip_implant,
Humerus_L_TS,23131,humerus_left,
Humerus_R_TS,23130,humerus_right,
Humerus_TS,,humerus,
IliopsoasMuscle_L_TS,,iliopsoas_left,
IliopsoasMuscle_R_TS,,iliopsoas_right,
IliopsoasMuscles_TS,,iliopsoas,
IntracerebralHaemorrhage_TS,,intracerebral_hemorrhage,
Kidney_L_TS,7205,kidney_left,
Kidney_R_TS,7204,kidney_right,
Kidney_TS,264815,kidney,
KidneyCyst_L_TS,,kidney_cyst_left,
KidneyCyst_R_TS,,kidney_cyst_right,
Limbs_TS,,body_extremities,
Liver_TS,7197,liver,
LiverVessels_TS,,liver_vessels,
Lung_LLL_TS,7371,lung_lower_lobe_left,
Lung_RLL_TS,7337,lung_lower_lobe_right,
Lung_RML_TS,7383,lung_middle_lobe_right,
Lung_RUL_TS,7333,lung_upper_lobe_right,
Lung_ULL_TS,7370,lung_upper_lobe_left,
LungAirways_TS,,lung_trachea_bronchia,
LungVessels_TS,,lung_vessels,
Metacarpal_TS,,metacarpal,
MetatarsalBones_TS,,metatarsal,
MuscleSkeletal_TS,,skeletal_muscle,
Myocardium_TS,,heart_myocardium,
Oesophagus_TS,7131,esophagus,
Pancreas_TS,7198,pancreas,
Patella_TS,,patella,
PericardialEffusion_TS,,pericardial_effusion,
Pleura_TS,,lung_pleural,
PleuralEffusion_TS,,pleural_effusion,
Prostate_TS,9600,prostate,
Radius_TS,,radius,
Rib1_L_TS,7987,rib_left_1,
Rib1_R_TS,7857,rib_right_1,
Rib10_L_TS,8472,rib_left_10,
