Standard Name,FMA ID,Organ,Url
ADRENAL_L,15629,Adrenal glands Left,
ADRENAL_R,15630,Adrenal glands Right,
ANALCANAL,15703,Anal canal,
ANALSPHINCT,15710,Anal Sphincter internal,
AORTA,3734,Aorta,
ARYTENOIDS,55109,Arytenoid cartilage combined,
ARYTENOID_L,55114,Arytenoid cartilage Left,
ARYTENOID_R,55113,Arytenoid cartilage Right,
V_AZYGOS,4838,Azygos vein,
BASEOFTONGUE,54645,Base of Tongue,
BLADDER,15900,Bladder - Urinary,
BLADDERWALL,15902,Bladder Wall,
BOWEL,7200,Small intestine,
BOWELBAG,9908,BowelBag a la RTOG,
BRACHIALPS,5906,Brachial Plexus combined,
BRACHIALP_L,65221,Brachial Plexus Left,
BRACHIALP_R,65222,Brachial Plexus Right,
A_BRACHIOCEPH,3932,Brachiocephalic artery,
V_BRACHIOCEPH_L,4761,Brachiocephalic vein left,
V_BRACHIOCEPH_R,4751,Brachiocephalic vein right,
BRAIN,50801,Brain,
BRAINSTEM,79876,Brainstem,
BREASTS,9601,Breasts combined,
BREAST_L,73125,Breast Left,
BREAST_R,73124,Breast Right,
BRONCHUSS,26660,Bronchial tree combined,
BRONCHUS_R,26661,Bronchial tree Right,
BRONCHUS_L,26662,Bronchial tree Left,
VB_C1,12519,Atlas,
VB_C2,12520,Axis,
VB_C3,12521,Cervical Vertebra,
VB_C4,12522,Cervical Vertebra,
VB_C5,12523,Cervical Vertebra,
VB_C6,12524,Cervical Vertebra,
VB_C7,12525,Cervical Vertebra,
VB_C8,23892,Cervical Vertebra,
CARINA,7465,Carina of trachea,
ATRIUMS,7099,Atrium of the heart combined,
ATRIUM_L,7097,Atrium of the heart left,
ATRIUM_R,7096,Atrium of the heart right,
VENTRICLES,7100,Ventricle of the heart combined,
VENTRICLE_L,7101,Ventricle of the heart left,
VENTRICLE_R,7098,Ventricle of the heart right,
A_CAROTIDS,3939,Carotid artery combined,
A_CAROTID_L,4058,Left Carotid Artery,
A_CAROTID_R,3941,Right Carotid Artery,
CAUDAEQUINA,52590,Cauda Equina,
A_CELIAC,50737,Celiac artery,
CEREBELLUM,67944,Cerebellum,
CEREBRUM,62000,Cerebrum,
CERVIX,17740,Cervix of uterus,
CHESTWALL,50060,Chest Wall,
CHIASM,62045,Optic chiasm,
CLAVICLE_L,13323,Clavicle Left,
CLAVICLE_R,13322,Clavicle Right,
CN_III_L,50880,Oculomotor nerve Left,
CN_III_R,50879,Oculomotor nerve Right,
CN_IX_L,50892,Glossopharyngeal nerve Left,
CN_IX_R,50870,Glossopharyngeal nerve Right ,
CN_V_L,50885,Trigeminal nerve Left,
CN_V1_L,52623,Trigeminal nerve Left (V1),
CN_V2_L,52726,Trigeminal nerve Left (V2),
CN_V3_L,52998,Trigeminal nerve Left (V3),
CN_V_R,50884,Trigeminal nerve Right,
CN_V1_R,52622,Trigeminal nerve Right (V1),
CN_V2_R,52725,Trigeminal nerve Right (V2),
CN_V3_R,52997,Trigeminal nerve Right (V3),
CN_VI,50867,Abducens nerve,
CN_VI_L,50887,Abducens nerve Left,
CN_VI_R,50886,Abducens nerve Right,
CN_VII_L,50889,Facial nerve Left,
CN_VII_R,50888,Facial nerve Right,
CN_XI_L,50899,Spinal accessory nerve Left,
CN_XI_R,50897,Spinal accessory nerve Right,
CN_XII_L,50903,Hypoglossal nerve Left,
CN_XII_R,50901,Hypoglossal nerve Right,
COCHLEAS,60201,Cochlea combined,
COCHLEA_L,60203,Cochlea Left,
COCHLEA_R,60202,Cochlea Right,
COLON,7201,Large intestine,
CONSTRICTORS,46620,Constrictor Muscle of Pharynx,
CORNEAS,58238,Cornea combined,
CORNEA_L,58240,Cornea Left,
CORNEA_R,58239,Cornea Right,
CAVERNOSUM,75189,Penis - CORPUS CAVERNOSUM,
SPONGIOSUM,19617,Penis - CORPUS SPONGIOSUM,
CRICOID,9615,Cricoid cartilage,
DIAPHRAGM,13295,Diaphragm,
DIGASTRIC_L,46293,Digastric muscle Left,
DIGASTRIC_R,46292,Digastric muscle Right,
DUODENUM,7206,Duodenum,
EAR_EXTERNALS,52781,External Ear combined,
EAR_EXTERNAL_L,53644,External Ear Left,
EAR_EXTERNAL_R,53643,External Ear Right,
EAR_MIDDLES,56513,Middle Ear combined,
EAR_MIDDLE_L,56515,Middle Ear Left,
EAR_MIDDLE_R,56514,Middle Ear Right,
OESOPHAGUS,7131,Oesophagus,
ESOPHAGUS,7131,Esophagus,
